Start Year,End Year,Data Year,State Accountability Calculation,Campus Number,Campus Name,Street Address,City,Zip Code,Type of School,District Number,District Name,County Number,County Name,Region Number,Region Name,Travis County all students graduation rate,Campus all students graduation rate,Campus African American graduation rate,Campus Asian graduation rate,Campus Hispanic graduation rate,Campus Multiracial graduation rate,Campus American Indian graduation rate,Campus Pacific Islander graduation rate,Campus White graduation rate,Campus economically disadvantaged graduation rate,Campus female graduation rate,Campus male graduation rate,Geocode Address
01/2016,12/2016,2016,No,227816101,Harmony School Of Excellence - Aus,2100 E St Elmo Rd,Austin,78744,Charter,227816,Harmony Science Academy (Austin),227,Travis County,13,Austin,0.896,1,1,1,1,,,,1,1,1,1,POINT (-97.74644 30.209759)
01/2020,12/2020,2020,No,227901013,Bowie H S,4103 W Slaughter Ln,Austin,78749,Public,227901,Austin ISD,227,Travis County,13,Austin,0.897,0.977,0.958,0.961,0.972,1,,-0.01,0.982,0.919,0.99,0.965,POINT (-97.856475 30.188388)
01/2019,12/2019,2019,No,227901025,Graduation Prep Academy Travis,1211 E Oltorf St,Austin,78704,Public,227901,Austin ISD,227,Travis County,13,Austin,0.904,0.636,0.667,,0.621,,,,1,0.654,0.6,0.692,POINT (-97.743904 30.234768)
01/2017,12/2017,2017,No,227901015,Garza Independence H S,1600 Chicon St,Austin,78702,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.517,0.545,1,0.423,0.6,,,0.611,0.444,0.614,0.373,POINT (-97.720737 30.277589)
01/2018,12/2018,2018,No,227910002,Del Valle Opportunity Ctr,5301 Ross Rd,Austin,78617,Public,227910,Del Valle ISD,227,Travis County,13,Austin,0.895,0.811,0.769,0,0.825,0.5,,1,0.778,0.828,0.832,0.793,POINT (-97.615839 30.177931)
01/2020,12/2020,2020,No,227909001,Westlake H S,4100 Westbank Dr,Austin,78746,Public,227909,Eanes ISD,227,Travis County,13,Austin,0.897,0.996,1,1,1,1,-0.01,-0.01,0.994,0.966,0.994,0.997,POINT (-97.814159 30.2751)
01/2017,12/2017,2017,No,227901026,Graduation Prep Academy Lanier,1201 Payton Gin Rd,Austin,78758,Public,227901,Austin ISD,227,Travis County,13,Austin,0.893,0.138,0.167,,0.127,,,,0.25,0.36,0.206,0.065,POINT (-97.708443 30.361618)
01/2020,12/2020,2020,No,227817001,Cedars Academy Next Generation H S,6700 Middle Fiskville Rd File Room,Austin,78752,Charter,227817,Cedars International Academy,227,Travis County,13,Austin,0.897,1,-0.01,,1,,,,-0.01,1,1,1,POINT (-97.707021 30.328395)
01/2018,12/2018,2018,No,227901015,Garza Independence H S,1600 Chicon St,Austin,78702,Public,227901,Austin ISD,227,Travis County,13,Austin,0.895,0.402,0.333,,0.421,0.2,,,0.426,0.405,0.423,0.375,POINT (-97.720737 30.277589)
01/2018,12/2018,2018,No,227907002,Manor Excel Academy,600 E Parsons St,Manor,78653,Public,227907,Manor ISD,227,Travis County,13,Austin,0.895,0.556,0.588,1,0.537,1,,,0.333,0.63,0.714,0.357,POINT (-97.551086 30.341783)
01/2016,12/2016,2016,No,227904001,Pflugerville H S,1301 W Pecan St,Plugerville,78660,Public,227904,Pflugerville ISD,227,Travis County,13,Austin,0.896,0.961,0.982,0.955,0.953,0.909,1,,0.966,0.972,0.971,0.952,POINT (-97.630645 30.44447)
